Cost,County,hour,minute,am/pm,Time
115,NY,1,0,A,60
65,NY,1,0,A,60
65,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,0,A,60
65,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,0,A,60
115,NY,1,1,A,61
115,NY,1,1,A,61
115,NY,1,1,A,61
65,NY,1,1,A,61
115,NY,1,1,A,61
95,NY,1,1,A,61
115,NY,1,1,A,61
115,NY,1,1,A,61
65,NY,1,1,A,61
115,NY,1,1,A,61
115,NY,1,1,A,61
65,NY,1,1,A,61
115,NY,1,1,A,61
115,NY,1,2,A,62
60,NY,1,2,A,62
65,NY,1,2,A,62
115,NY,1,2,A,62
115,NY,1,2,A,62
95,NY,1,2,A,62
60,NY,1,2,A,62
115,NY,1,2,A,62
115,NY,1,2,A,62
115,NY,1,2,A,62
115,NY,1,2,A,62
65,NY,1,2,A,62
115,NY,1,2,A,62
65,NY,1,2,A,62
115,NY,1,2,A,62
115,NY,1,2,A,62
115,NY,1,2,A,62
65,NY,1,2,A,62
35,NY,1,2,A,62
60,NY,1,2,A,62
115,NY,1,2,A,62
115,NY,1,2,A,62
115,NY,1,2,A,62
115,NY,1,2,A,62
65,NY,1,2,A,62
115,NY,1,2,A,62
60,NY,1,2,A,62
115,NY,1,3,A,63
65,NY,1,3,A,63
115,NY,1,3,A,63
65,NY,1,3,A,63
115,NY,1,3,A,63
115,NY,1,3,A,63
115,NY,1,3,A,63
115,NY,1,3,A,63
65,NY,1,3,A,63
115,NY,1,3,A,63
115,NY,1,3,A,63
65,NY,1,3,A,63
115,NY,1,3,A,63
65,NY,1,3,A,63
65,NY,1,3,A,63
115,NY,1,3,A,63
115,NY,1,3,A,63
115,NY,1,4,A,64
65,NY,1,4,A,64
115,NY,1,4,A,64
65,NY,1,4,A,64
65,NY,1,4,A,64
65,NY,1,4,A,64
65,NY,1,4,A,64
115,NY,1,4,A,64
95,NY,1,4,A,64
115,NY,1,4,A,64
115,NY,1,4,A,64
65,NY,1,4,A,64
